model,dataset,output_len,mse,mae
TQNet,PEMS04,24,0.077,0.181
MMK,PEMS04,24,0.16902,0.27559
TimeXer,PEMS04,24,0.087,0.195
CycleNet,PEMS04,24,0.099,0.212
iTransformer,PEMS04,24,0.095,0.205
MSGNet,PEMS04,24,0.101,0.218
TimesNet,PEMS04,24,0.103,0.215
PatchTST,PEMS04,24,0.153,0.275
Crossformer,PEMS04,24,0.131,0.256
DLinear,PEMS04,24,0.224,0.34
PatchMLP,PEMS04,48,0.09071,0.19163
TQNet,PEMS04,48,0.097,0.206
MMK,PEMS04,48,0.32306,0.39128
TimeXer,PEMS04,48,0.11,0.214
CycleNet,PEMS04,48,0.133,0.248
iTransformer,PEMS04,48,0.12,0.233
MSGNet,PEMS04,48,0.127,0.247
TimesNet,PEMS04,48,0.136,0.25
PatchTST,PEMS04,48,0.229,0.339
Crossformer,PEMS04,48,0.205,0.326
DLinear,PEMS04,48,0.355,0.437
PatchMLP,PEMS04,96,0.10226,0.20317
TQNet,PEMS04,96,0.123,0.233
MMK,PEMS04,96,0.56765,0.53881
TimeXer,PEMS04,96,0.148,0.251
CycleNet,PEMS04,96,0.167,0.281
iTransformer,PEMS04,96,0.15,0.262
MSGNet,PEMS04,96,0.174,0.292
TimesNet,PEMS04,96,0.19,0.303
PatchTST,PEMS04,96,0.291,0.389
Crossformer,PEMS04,96,0.402,0.457
DLinear,PEMS04,96,0.452,0.504
PatchMLP,PEMS04,avg,0.0848575,0.1850875
TQNet,PEMS04,avg,0.091,0.197
MMK,PEMS04,avg,0.2906725,0.3543575
TimeXer,PEMS04,avg,0.105,0.209
CycleNet,PEMS04,avg,0.119,0.232
iTransformer,PEMS04,avg,0.111,0.221
MSGNet,PEMS04,avg,0.122,0.239
TimesNet,PEMS04,avg,0.129,0.241
PatchTST,PEMS04,avg,0.195,0.307
Crossformer,PEMS04,avg,0.209,0.314
DLinear,PEMS04,avg,0.295,0.388
PatchMLP,PEMS07,12,0.0516,0.1423
TQNet,PEMS07,12,0.051,0.143
MMK,PEMS07,12,0.08142,0.18726
TimeXer,PEMS07,12,0.057,0.152
CycleNet,PEMS07,12,0.062,0.162
iTransformer,PEMS07,12,0.067,0.165
MSGNet,PEMS07,12,0.079,0.182
TimesNet,PEMS07,12,0.082,0.181
PatchTST,PEMS07,12,0.095,0.207
Crossformer,PEMS07,12,0.094,0.2
DLinear,PEMS07,12,0.115,0.242
PatchMLP,PEMS07,24,0.06185,0.15408
TQNet,PEMS07,24,0.063,0.159
MMK,PEMS07,24,0.14163,0.24942
TimeXer,PEMS07,24,0.079,0.179
CycleNet,PEMS07,24,0.086,0.192
iTransformer,PEMS07,24,0.088,0.19
MSGNet,PEMS07,24,0.099,0.206
TimesNet,PEMS07,24,0.101,0.204
PatchTST,PEMS07,24,0.15,0.262
Crossformer,PEMS07,24,0.139,0.247
DLinear,PEMS07,24,0.21,0.329
PatchMLP,PEMS07,48,0.07713,0.16939
TQNet,PEMS07,48,0.081,0.179
MMK,PEMS07,48,0.28891,0.36334
TimeXer,PEMS07,48,0.099,0.191
CycleNet,PEMS07,48,0.128,0.234
iTransformer,PEMS07,48,0.11,0.215
MSGNet,PEMS07,48,0.133,0.239
TimesNet,PEMS07,48,0.134,0.238
PatchTST,PEMS07,48,0.253,0.34
Crossformer,PEMS07,48,0.311,0.369
DLinear,PEMS07,48,0.398,0.458
PatchMLP,PEMS07,96,0.09734,0.1842
TQNet,PEMS07,96,0.103,0.203
MMK,PEMS07,96,0.54709,0.51192
TimeXer,PEMS07,96,0.107,0.205
CycleNet,PEMS07,96,0.176,0.268
iTransformer,PEMS07,96,0.139,0.245
MSGNet,PEMS07,96,0.179,0.279
TimesNet,PEMS07,96,0.181,0.279
PatchTST,PEMS07,96,0.346,0.404
Crossformer,PEMS07,96,0.396,0.442
DLinear,PEMS07,96,0.594,0.553
PatchMLP,PEMS07,avg,0.07198,0.1624925
TQNet,PEMS07,avg,0.075,0.171
MMK,PEMS07,avg,0.2647625,0.327985
TimeXer,PEMS07,avg,0.085,0.182
CycleNet,PEMS07,avg,0.113,0.214
iTransformer,PEMS07,avg,0.101,0.204
MSGNet,PEMS07,avg,0.122,0.227
TimesNet,PEMS07,avg,0.125,0.226
PatchTST,PEMS07,avg,0.211,0.303
Crossformer,PEMS07,avg,0.235,0.315
DLinear,PEMS07,avg,0.329,0.396
PatchMLP,PEMS08,12,0.06936,0.16215
TQNet,PEMS08,12,0.071,0.17
MMK,PEMS08,12,0.09912,0.20431
TimeXer,PEMS08,12,0.075,0.176
CycleNet,PEMS08,12,0.082,0.185
iTransformer,PEMS08,12,0.079,0.182
MSGNet,PEMS08,12,0.105,0.211
TimesNet,PEMS08,12,0.112,0.212
PatchTST,PEMS08,12,0.168,0.232
Crossformer,PEMS08,12,0.165,0.214
DLinear,PEMS08,12,0.154,0.276
PatchMLP,PEMS08,24,0.08949,0.1819
TQNet,PEMS08,24,0.096,0.196
MMK,PEMS08,24,0.16616,0.27071
TimeXer,PEMS08,24,0.102,0.201
CycleNet,PEMS08,24,0.117,0.226
iTransformer,PEMS08,24,0.115,0.219
MSGNet,PEMS08,24,0.141,0.243
TimesNet,PEMS08,24,0.141,0.238
PatchTST,PEMS08,24,0.224,0.281
Crossformer,PEMS08,24,0.215,0.26
DLinear,PEMS08,24,0.248,0.353
PatchMLP,PEMS08,48,0.12659,0.21213
TQNet,PEMS08,48,0.149,0.244
MMK,PEMS08,48,0.33145,0.39117
TimeXer,PEMS08,48,0.158,0.248
CycleNet,PEMS08,48,0.169,0.268
iTransformer,PEMS08,48,0.186,0.235
MSGNet,PEMS08,48,0.211,0.3
TimesNet,PEMS08,48,0.198,0.283
PatchTST,PEMS08,48,0.321,0.354
Crossformer,PEMS08,48,0.315,0.355
DLinear,PEMS08,48,0.44,0.47
PatchMLP,PEMS08,96,0.19805,0.24994
TQNet,PEMS08,96,0.253,0.309
MMK,PEMS08,96,0.65303,0.55081
TimeXer,PEMS08,96,0.366,0.377
CycleNet,PEMS08,96,0.233,0.306
